code,deb_sem,abon,abv,abz,ahh,ajb,ambl,ants,atb,bel,bela,bhk,boe,bos,cda,die,diri,dona,dri,ejd,far,fito,fns,iho,mae,mand,mdv,mhj,mia,miad,mjr,mnj,mnld,mora,mrb,mrg,mrt,mtn,nsb,samp,sbv,snam,stm,tanb,tdd,tgr,tlr,toa,tomp,tsar,tsim,tsl,velo,vink,vola
2015_08,16482,,,20,20,3,,,25,21,,9,10,3,0,0,,,28,0,21,,1,0,49,,6,23,3,,2,4,,,,10,10,13,75,,9,,0,,3,0,12,24,,,,15,,,
2015_07,16475,,1,23,6,0,,,13,24,,19,22,5,0,0,,,43,0,23,,2,2,60,,7,16,6,,4,2,,,,14,11,4,83,,13,,2,,15,0,8,14,,,,11,,,
2015_06,16468,,0,12,8,3,,,18,31,,6,13,9,0,0,,,16,0,22,,1,8,17,,2,6,2,,0,0,,,,9,9,10,60,,18,,2,,6,0,9,17,,,,13,,,
2015_05,16461,,0,5,11,2,,,9,55,,0,9,6,0,4,,,15,0,11,,5,10,36,,8,13,1,,5,1,,,,12,3,1,84,,29,,0,,5,0,10,18,,,,11,,,
2015_04,16454,,0,11,20,1,,,6,26,,12,10,7,0,13,,,6,0,20,,6,5,32,,6,21,1,,5,1,,,,9,6,11,67,,37,,1,,16,0,8,21,,,,17,,,
2015_03,16447,,1,12,34,5,,,5,24,,8,25,6,0,0,,,2,,13,,3,1,9,,5,20,0,,1,0,,,,10,16,17,91,,5,,2,,12,0,8,12,,,,11,,,
2015_02,16440,,,3,15,2,,,6,14,,4,20,2,0,0,,,9,,30,,7,8,4,,11,22,1,,1,0,,,,15,11,,46,,14,,2,,13,0,5,24,,,,7,,,
2015_01,16433,,,1,2,0,,,3,12,,2,4,7,0,0,,,2,,9,,3,2,4,,,4,2,,0,0,,,,7,7,,24,,10,,1,,6,0,1,15,,,,3,,,
2014_52,16426,,0,2,10,0,,,2,14,,5,6,5,0,0,,,2,,12,,4,8,0,,0,8,0,,0,2,,,,12,15,4,43,,3,,1,,4,0,2,25,,,,2,,,
2014_51,16419,,0,2,8,0,,,11,35,,0,10,13,2,43,,,7,0,12,,0,1,3,,3,7,0,,0,3,,,,19,17,2,18,,4,,8,,17,0,9,51,,,,15,,,
2014_50,16412,,0,4,1,0,,,4,16,,3,16,8,1,15,,,6,0,15,,3,1,0,,6,6,1,,1,8,,,,12,22,3,37,,1,,7,,6,0,2,41,,,,15,,,
2014_49,16405,,0,10,0,2,,,16,29,,10,11,2,0,4,,,9,0,18,,6,7,4,,7,19,4,,0,1,,,,9,13,0,51,,1,,4,,12,0,2,14,,,,13,,,
2014_48,16398,,,4,2,0,,,13,16,,1,8,1,0,0,,,4,0,10,,3,7,11,,1,19,10,,3,1,,,,8,6,1,53,,0,,2,,5,0,2,32,,,,14,,,
2014_47,16391,,,7,1,0,,,20,22,,3,16,2,1,4,,,2,0,6,,7,9,4,,6,5,8,,0,1,,,,7,11,6,44,,0,,2,,19,0,3,27,,,,2,,,
2014_46,16384,,0,5,3,0,,,26,21,,1,8,2,0,0,,,4,0,10,,7,2,13,,6,10,8,,1,2,,,,9,5,8,51,,0,,2,,7,0,2,36,,,,8,,,
2014_45,16377,,0,1,4,2,,,19,34,,5,16,1,1,4,,,7,2,19,,0,8,6,,5,15,5,,0,0,,,,9,3,3,42,,5,,2,,11,0,1,9,,,,8,,,
2014_44,16370,,0,7,4,0,,,40,18,,7,15,4,1,2,,,0,,12,,0,4,4,,2,11,11,,3,1,,,,7,3,2,47,,3,,2,,0,0,5,8,,,,4,,,
2014_43,16363,,,6,5,0,,,36,20,,5,5,2,0,0,,,8,,21,,6,3,2,,5,13,6,,3,0,,,,2,5,5,27,,4,,1,,4,0,2,11,,,,8,,,
2014_42,16356,,0,4,4,0,,,32,21,,7,14,2,0,0,,,4,,17,,2,1,13,,7,8,4,,3,2,,,,4,7,4,15,,3,,1,,10,0,6,8,,,,6,,,
2014_41,16349,,0,5,1,0,,,23,7,,3,8,0,0,2,,,5,,9,,4,2,5,,1,7,3,,2,0,,,,4,1,4,18,,3,,1,,8,0,2,5,,,,2,,,
2014_40,16342,,0,2,0,2,,,17,26,,9,15,1,0,0,,,3,,17,,5,3,1,,4,6,5,,5,0,,,,5,2,3,12,,5,,3,,7,0,1,4,,,,11,,,
2014_39,16335,,,1,0,0,,,12,31,,8,6,1,0,5,,,0,,18,,5,0,4,,1,4,4,,0,5,,,,5,1,2,12,,0,,1,,11,0,4,8,,,,10,,,
2014_38,16328,,0,2,1,1,,,19,15,,7,2,6,0,1,,,1,0,11,,0,0,4,,14,5,5,,2,0,,,,7,1,3,14,,1,,2,,7,0,2,4,,,,9,,,
2014_37,16321,,,3,4,0,,,17,8,,10,14,2,1,0,,,1,0,6,,0,5,4,,9,2,1,,4,1,,,,5,3,3,18,,2,,0,,5,0,1,8,,,,4,,,
2014_36,16314,,,2,1,0,,,14,10,,5,15,2,0,0,,,3,1,10,,1,0,0,,5,3,0,,2,0,,,,8,4,4,14,,1,,0,,11,0,3,9,,,,7,,,
2014_35,16307,,,5,8,1,,,14,5,,0,10,1,0,0,,,6,,2,,0,0,1,,4,1,2,,1,0,,,,11,3,1,12,,5,,0,,7,0,1,9,,,,11,,,
2014_34,16300,,0,7,3,1,,,7,3,,0,14,3,0,2,,,3,,5,,2,2,10,,3,0,3,,2,0,,,,2,4,4,18,,0,,0,,3,0,4,5,,,,16,,,
2014_33,16293,,0,3,5,0,,,11,1,,0,17,3,0,5,,,2,,7,,1,0,0,,12,1,1,,0,0,,,,5,0,1,11,,0,,0,,13,0,3,3,,,,5,,,
2014_32,16286,,0,3,1,0,,,7,5,,0,10,3,0,1,,,3,,5,,2,1,2,,4,2,4,,2,0,,,,5,0,0,12,,1,,1,,7,0,4,3,,,,4,,,
2014_31,16279,,,5,6,2,,,12,7,,8,4,5,0,1,,,6,0,9,,0,0,2,,4,1,4,,2,0,,,,2,0,0,8,,2,,0,,5,0,2,4,,,,11,,,
2014_30,16272,,0,3,3,0,,,7,5,,7,6,2,0,1,,,6,,4,,2,7,0,,6,6,1,,2,6,,,,6,3,1,11,,0,,3,,5,0,3,8,,,,7,,,
2014_29,16265,,0,6,6,0,,,9,4,,4,8,2,0,5,,,2,0,9,,1,4,4,,3,6,2,,2,6,,,,8,0,7,13,,3,,1,,4,0,0,2,,,,1,,,
