code,deb_sem,abon,abv,abz,ahh,ajb,ambl,ants,atb,bel,bela,bhk,boe,bos,cda,die,diri,dona,dri,ejd,far,fito,fns,iho,mae,mand,mdv,mhj,mia,miad,mjr,mnj,mnld,mora,mrb,mrg,mrt,mtn,nsb,samp,sbv,snam,stm,tanb,tdd,tgr,tlr,toa,tomp,tsar,tsim,tsl,velo,vink,vola
2015_14,16524,,3,4,1,0,,,6,20,,3,2,4,7,6,,,8,,4,,4,1,6,,17,1,2,,1,22,,,,3,8,2,17,,19,,4,,4,3,16,10,,,,9,,,
2015_13,16517,,3,4,3,0,,,12,39,,11,8,2,10,12,,,6,,10,,2,0,13,,21,0,7,,2,3,,,,3,16,,22,,16,,0,,4,0,16,5,,,,5,,,
2015_12,16510,,0,3,2,0,,,9,8,,13,6,2,14,17,,,6,,3,,4,1,13,,27,0,6,,1,15,,,,8,11,4,32,,29,,0,,12,1,22,9,,,,9,,,
2015_11,16503,,5,9,1,0,,,16,13,,7,9,0,13,9,,,13,,12,,1,0,16,,24,0,10,,3,15,,,,19,13,4,28,,22,,0,,7,1,21,7,,,,9,,,
2015_10,16496,,14,8,1,0,,,16,17,,10,5,1,14,21,,,5,,12,,1,2,11,,28,6,6,,2,18,,,,14,12,9,34,,14,,3,,6,0,17,6,,,,7,,,
2015_09,16489,,6,14,2,0,,,8,20,,15,9,4,16,33,,,17,,16,0,3,2,29,,22,4,10,,2,17,,,,6,18,9,39,,21,,2,,6,0,23,9,,,,3,,,
2015_08,16482,,,6,2,0,,,8,51,,19,13,4,16,32,,,14,0,13,,2,1,21,,16,5,8,,3,19,,,,12,21,3,29,,28,,0,,13,0,11,12,,,,3,,,
2015_07,16475,,1,11,1,0,,,11,21,,22,16,4,18,39,,,8,2,9,,3,1,26,,28,7,12,,1,18,,,,18,11,9,34,,28,,1,,20,1,16,4,,,,9,,,
2015_06,16468,,4,4,3,0,,,9,19,,17,17,1,14,50,,,12,0,13,,5,4,34,,9,6,5,,0,17,,,,12,19,3,54,,44,,5,,9,1,19,8,,,,7,,,
2015_05,16461,,4,12,5,0,,,16,34,,2,30,2,7,54,,,8,0,13,,0,3,47,,33,8,2,,1,16,,,,13,12,6,57,,28,,0,,22,1,16,7,,,,4,,,
2015_04,16454,,7,5,1,0,,,13,31,,6,36,5,11,55,,,12,1,11,,3,4,42,,24,12,2,,3,16,,,,11,26,7,57,,51,,1,,19,0,26,8,,,,8,,,
2015_03,16447,,1,6,1,2,,,5,13,,19,46,1,12,44,,,10,,5,,7,3,30,,7,5,1,,2,34,,,,8,35,6,48,,61,,0,,8,1,22,5,,,,9,,,
2015_02,16440,,,11,5,0,,,15,24,,19,40,2,8,20,,,11,,13,,8,6,31,,11,3,1,,4,45,,,,25,31,,41,,53,,3,,18,0,23,6,,,,11,,,
2015_01,16433,,,3,1,1,,,12,25,,11,12,1,2,13,,,1,,6,,2,0,21,,,3,0,,0,4,,,,11,8,,21,,12,,1,,8,2,8,5,,,,7,,,
2014_52,16426,,4,5,2,0,,,6,19,,6,18,0,2,22,,,6,,21,,4,2,19,,14,3,2,,2,22,,,,7,13,0,35,,21,,0,,16,0,12,2,,,,5,,,
2014_51,16419,,5,14,2,1,,,11,34,,12,18,5,5,39,,,4,1,21,,4,2,26,,8,2,4,,3,40,,,,16,21,2,29,,19,,4,,15,0,21,4,,,,8,,,
