code,deb_sem,abon,abv,abz,ahh,ajb,ambl,ants,atb,bel,bela,bhk,boe,bos,cda,die,diri,dona,dri,ejd,far,fito,fns,iho,mae,mand,mdv,mhj,mia,miad,mjr,mnj,mnld,mora,mrb,mrg,mrt,mtn,nsb,samp,sbv,snam,stm,tanb,tdd,tgr,tlr,toa,tomp,tsar,tsim,tsl,velo,vink,vola
2009_51,14592,,2,6,18,,,,53,,,11,,,1,241,,,,3,28,,20,24,49,,13,64,,,11,,,,,70,,,195,,31,,,,24,35,31,63,,,,0,,,
2009_50,14585,,2,0,13,,,,98,,,5,,,3,212,,,,4,77,,24,10,72,,19,101,,,23,,,,,151,,,170,,34,,,,27,72,22,160,,,,1,,,
2009_49,14578,,10,14,8,,,,120,,,5,,,3,143,,,,2,38,,30,17,57,,15,97,,,21,,,,,198,,,150,,25,,,,35,93,12,233,,,,3,,,
2009_48,14571,,5,8,21,,,,114,,,9,,,3,82,,,,2,34,,19,13,60,,27,62,,,36,,,,,71,,,192,,22,,,,31,84,10,260,,,,10,,,
2009_47,14564,,1,8,18,,,,51,,,15,,,2,68,,,,2,25,,5,6,50,,36,39,,,56,,,,,56,,,135,,23,,,,21,28,17,187,,,,20,,,
2009_46,14557,,4,21,22,,,,34,,,6,,,2,60,,,,4,35,,11,10,49,,27,25,,,39,,,,,68,,,134,,17,,,,25,17,41,118,,,,4,,,
2009_45,14550,,6,3,5,,,,24,,,18,,,5,46,,,,2,23,,6,5,51,,14,22,,,22,,,,,87,,,100,,12,,,,21,18,31,92,,,,12,,,
2009_44,14543,,2,9,18,,,,15,,,12,,,3,68,,,,3,24,,6,10,60,,9,20,,,14,,,,,72,,,98,,22,,,,22,9,18,34,,,,11,,,
2009_43,14536,,3,2,19,,,,17,,,5,,,0,48,,,,3,37,,9,8,82,,23,25,,,10,,,,,66,,,114,,7,,,,22,7,16,82,,,,5,,,
2009_42,14529,,2,1,12,,,,16,,,5,,,1,49,,,,1,10,,9,6,95,,10,24,,,4,,,,,81,,,64,,30,,,,19,4,9,52,,,,0,,,
2009_41,14522,,6,2,6,,,,15,,,4,,,0,37,,,,1,6,,4,6,69,,11,28,,,6,,,,,69,,,81,,25,,,,19,5,3,51,,,,6,,,
2009_40,14515,,4,1,10,,,,28,,,1,,,0,63,,,,1,7,,4,4,71,,7,15,,,0,,,,,62,,,74,,32,,,,19,5,15,36,,,,2,,,
2009_39,14508,,5,1,9,,,,20,,,6,,,2,30,,,,0,4,,5,9,54,,16,38,,,2,,,,,44,,,52,,10,,,,16,6,9,37,,,,1,,,
