"code";"deb_sem";"abon";"abv";"abz";"ahh";"ajb";"ambl";"ants";"atb";"bel";"bela";"bhk";"boe";"bos";"cda";"die";"diri";"dona";"dri";"ejd";"far";"fito";"fns";"iho";"mae";"mand";"mdv";"mhj";"mia";"miad";"mjr";"mnj";"mnld";"mora";"mrb";"mrg";"mrt";"mtn";"nsb";"samp";"sbv";"snam";"stm";"tanb";"tdd";"tgr";"tlr";"toa";"tomp";"tsar";"tsim";"tsl";"velo";"vink";"vola"
"2016_02";"2016-01-11";1;4;0;4;1;0;2;8;34;1;1;2;6;10;14;2;0;7;2;11;0;5;8;31;1;6;0;3;2;1;7;9;1;0;2;0;12;24;0;2;0;3;1;2;5;7;6;0;3;1;5;4;2;0
"2016_01";"2016-01-04";0;4;8;1;2;0;1;9;28;3;1;5;6;10;0;2;3;0;3;4;0;0;9;5;2;8;8;4;3;2;6;9;1;0;15;4;3;3;5;8;2;1;4;6;1;4;14;1;0;1;6;3;0;0
"2015_53";"2015-12-28";1;7;8;4;2;0;3;9;11;5;2;5;1;1;14;2;3;7;0;1;0;1;13;11;0;2;5;13;0;5;3;4;0;5;13;1;8;37;2;3;2;1;6;4;6;4;3;0;3;2;1;3;1;0
"2015_52";"2015-12-21";2;2;3;3;1;0;0;1;15;2;1;13;0;9;15;2;1;1;3;7;0;6;12;12;0;12;5;2;1;3;6;2;1;8;13;8;9;26;5;3;1;2;1;10;7;0;6;1;1;0;4;0;0;0
"2015_51";"2015-12-14";2;7;4;1;2;0;3;13;18;1;0;13;5;4;17;0;3;11;3;13;0;2;4;3;0;4;3;2;5;2;8;6;1;6;11;1;12;6;1;7;1;3;3;10;7;4;14;0;0;0;1;0;1;0
"2015_50";"2015-12-07";0;5;5;1;2;0;2;2;33;0;0;15;0;3;16;0;1;9;2;4;0;4;4;35;1;11;3;2;4;2;7;7;0;8;11;6;2;11;4;8;1;3;3;1;3;6;3;1;4;2;1;1;1;0
"2015_49";"2015-11-30";2;7;4;1;2;0;1;8;20;4;4;7;2;4;11;1;1;17;2;2;0;2;8;30;1;12;4;2;3;1;2;3;1;15;12;8;5;18;1;6;0;1;6;4;2;1;14;0;3;1;4;2;1;0
"2015_48";"2015-11-23";2;5;6;2;2;0;2;3;4;0;2;3;3;4;8;1;3;9;2;1;0;5;5;9;2;5;3;1;5;6;9;4;0;0;3;10;4;4;5;4;1;0;4;8;0;6;8;1;1;2;6;1;2;0
"2015_47";"2015-11-16";1;6;2;2;1;0;2;7;12;1;0;14;6;1;18;1;3;16;1;15;0;6;6;10;1;8;2;11;1;0;8;5;0;7;4;10;3;24;5;9;0;1;2;9;5;3;3;0;1;0;7;3;1;1
"2015_46";"2015-11-09";0;6;0;2;2;0;3;0;24;2;4;8;6;3;7;1;0;7;1;13;0;3;13;23;2;12;7;8;3;2;4;5;1;9;10;8;3;4;0;6;0;3;3;10;4;9;17;0;2;0;1;0;1;1
