"semaine";"debut";"abk";"abv";"ahh";"ajb";"atb";"bel";"bhk";"boe";"bos";"cda";"die";"ejd";"far";"fia";"iho";"mae";"mdv";"mhj";"mjr";"mnj";"mrb";"mrg";"mrt";"mtn";"nsb";"sbv";"stm";"tdd";"tgr";"tlr";"toa";"tsl"
"2014_08";2014-02-17;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1
"2014_09";2014-02-24;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;1;NA;3;NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;3;4
"2014_10";2014-03-03;1;NA;NA;NA;5;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;1;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;1;6
"2014_11";2014-03-10;NA;NA;NA;NA;4;NA;4;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;3;NA;NA;2;5
"2014_12";2014-03-17;NA;NA;NA;NA;5;NA;1;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;2;NA;NA;4;NA;NA;NA;NA;NA;4;NA;NA;2;5
"2014_13";2014-03-24;NA;NA;NA;NA;7;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
"2014_14";2014-03-31;NA;NA;NA;NA;3;NA;2;NA;NA;NA;1;NA;NA;2;NA;4;2;NA;2;NA;NA;2;NA;NA;4;NA;NA;1;NA;NA;2;4
"2014_15";2014-04-07;NA;NA;NA;NA;2;NA;3;NA;NA;NA;2;NA;NA;2;NA;NA;NA;1;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;3
"2014_16";2014-04-14;NA;NA;NA;NA;3;NA;3;NA;7;NA;1;NA;NA;2;3;NA;NA;1;2;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;3;1
"2014_17";2014-04-21;NA;NA;NA;NA;3;NA;1;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2014_18";2014-04-28;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9
"2014_19";2014-05-05;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3
"2014_20";2014-05-12;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5
"2014_21";2014-05-19;NA;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
"2014_22";2014-05-26;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3
"2014_23";2014-06-02;NA;NA;NA;NA;1;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;1;NA;NA;NA;NA;NA;1;1
"2014_24";2014-06-09;NA;NA;NA;NA;NA;NA;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;7
"2014_25";2014-06-16;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;4;NA;NA;2;NA;NA;3;12
"2014_26";2014-06-23;NA;NA;NA;NA;2;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;5
"2014_27";2014-06-30;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;3;5
"2014_28";2014-07-07;NA;NA;NA;NA;1;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;4;NA;NA;3;NA;NA;NA;6
"2014_29";2014-07-14;NA;NA;NA;NA;3;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2
"2014_30";2014-07-21;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;2;4
"2014_31";2014-07-28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;6
"2014_32";2014-08-04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
"2014_33";2014-08-11;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;3;NA;NA;1;6
"2014_34";2014-08-18;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;3;NA;NA;2;NA;NA;NA;NA;NA;4;NA;NA;2;NA;NA;NA;11
"2014_35";2014-08-25;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5
"2014_36";2014-09-01;NA;NA;NA;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;1;9
"2014_37";2014-09-08;NA;NA;NA;NA;1;NA;4;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;2;2
"2014_38";2014-09-15;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;4
"2014_39";2014-09-22;NA;NA;NA;NA;2;NA;4;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4
