code,deb_sem,mae
2008_08,2008-02-18,11
2008_07,2008-02-11,15
2008_06,2008-02-04,18
2008_05,2008-01-28,8
2008_04,2008-01-21,13
2008_03,2008-01-14,20
2008_02,2008-01-07,14
2008_01,2007-12-31,8
2007_52,2007-12-24,3
2007_51,2007-12-17,10
2007_50,2007-12-10,10
2007_49,2007-12-03,17
2007_48,2007-11-26,18
2007_47,2007-11-19,31
2007_46,2007-11-12,20
2007_45,2007-11-05,11
2007_44,2007-10-29,13
2007_43,2007-10-22,12
2007_42,2007-10-15,24
2007_41,2007-10-08,27
2007_40,2007-10-01,37
2007_39,2007-09-24,14
2007_38,2007-09-17,35
2007_37,2007-09-10,30
2007_36,2007-09-03,35
2007_35,2007-08-27,31
2007_34,2007-08-20,30
2007_33,2007-08-13,11
2007_32,2007-08-06,27
2007_31,2007-07-30,18
2007_30,2007-07-23,36
2007_29,2007-07-16,18
2007_28,2007-07-09,14
2007_27,2007-07-02,17
2007_26,2007-06-25,7
2007_25,2007-06-18,9
2007_24,2007-06-11,8
2007_23,2007-06-04,2
2007_22,2007-05-28,5
2007_21,2007-05-21,
2007_20,2007-05-14,9
2007_19,2007-05-07,5
2007_18,2007-04-30,14
2007_17,2007-04-23,19
2007_16,2007-04-16,
2007_15,2007-04-09,
