"code";"deb_sem";"sites";"perc_rank"
"2013_06";"2013-02-04";"diri";0
"2013_05";"2013-01-28";"diri";0
"2013_04";"2013-01-21";"diri";0
"2013_03";"2013-01-14";"diri";0
"2013_02";"2013-01-07";"diri";0
"2013_01";"2012-12-31";"diri";0
"2012_52";"2012-12-24";"diri";0
"2012_51";"2012-12-17";"diri";0
"2012_50";"2012-12-10";"diri";0
"2012_49";"2012-12-03";"diri";0
"2012_48";"2012-11-26";"diri";0
"2012_47";"2012-11-19";"diri";0
"2012_46";"2012-11-12";"diri";0
"2012_45";"2012-11-05";"diri";0
"2012_44";"2012-10-29";"diri";0
"2012_43";"2012-10-22";"diri";0
"2012_42";"2012-10-15";"diri";0
"2012_41";"2012-10-08";"diri";0
"2012_40";"2012-10-01";"diri";0
"2012_39";"2012-09-24";"diri";0
"2012_38";"2012-09-17";"diri";0
"2012_37";"2012-09-10";"diri";0
"2012_36";"2012-09-03";"diri";0
"2012_35";"2012-08-27";"diri";0
"2012_34";"2012-08-20";"diri";0
"2012_33";"2012-08-13";"diri";0
"2012_32";"2012-08-06";"diri";0
"2012_31";"2012-07-30";"diri";0
"2012_30";"2012-07-23";"diri";0
"2012_29";"2012-07-16";"diri";0
"2012_28";"2012-07-09";"diri";0
"2012_27";"2012-07-02";"diri";0
"2012_26";"2012-06-25";"diri";0
"2012_25";"2012-06-18";"diri";0
"2012_24";"2012-06-11";"diri";0
"2012_23";"2012-06-04";"diri";0
"2012_22";"2012-05-28";"diri";0
"2012_21";"2012-05-21";"diri";0
"2012_20";"2012-05-14";"diri";0
"2012_19";"2012-05-07";"diri";0
"2012_18";"2012-04-30";"diri";0
"2012_17";"2012-04-23";"diri";0
"2012_16";"2012-04-16";"diri";0
"2012_15";"2012-04-09";"diri";0
"2012_14";"2012-04-02";"diri";0
"2012_13";"2012-03-26";"diri";0
"2012_12";"2012-03-19";"diri";0
"2012_11";"2012-03-12";"diri";0
"2012_10";"2012-03-05";"diri";0
"2012_09";"2012-02-27";"diri";0
"2012_08";"2012-02-20";"diri";0
"2012_07";"2012-02-13";"diri";0
"2012_06";"2012-02-06";"diri";0
"2012_05";"2012-01-30";"diri";0
"2012_04";"2012-01-23";"diri";0
"2012_03";"2012-01-16";"diri";0
"2012_02";"2012-01-09";"diri";0
"2012_01";"2012-01-02";"diri";0
"2016_24";"2016-06-13";"dona";94
"2016_23";"2016-06-06";"dona";94
"2016_22";"2016-05-30";"dona";94
"2016_21";"2016-05-23";"dona";94
"2016_20";"2016-05-16";"dona";94
"2016_19";"2016-05-09";"dona";94
"2016_18";"2016-05-02";"dona";94
"2016_17";"2016-04-25";"dona";94
"2016_16";"2016-04-18";"dona";98
"2016_15";"2016-04-11";"dona";94
"2016_14";"2016-04-04";"dona";94
"2016_13";"2016-03-28";"dona";94
"2016_12";"2016-03-21";"dona";94
"2016_11";"2016-03-14";"dona";94
"2016_10";"2016-03-07";"dona";94
"2016_09";"2016-02-29";"dona";94
"2016_08";"2016-02-22";"dona";94
"2016_07";"2016-02-15";"dona";94
"2016_06";"2016-02-08";"dona";94
"2016_05";"2016-02-01";"dona";94
"2016_04";"2016-01-25";"dona";94
"2016_03";"2016-01-18";"dona";94
"2016_02";"2016-01-11";"dona";94
"2016_01";"2016-01-04";"dona";94
"2015_53";"2015-12-28";"dona";94
"2015_52";"2015-12-21";"dona";94
"2015_51";"2015-12-14";"dona";94
"2015_50";"2015-12-07";"dona";94
"2015_49";"2015-11-30";"dona";98
